Distribution,n,B,II_mean,II_std,KS_stat,p_value
D0 Independent,100,1000,1.00217,0.062862,0.023,0.6564
D0 Independent,500,1000,1.00041,0.028995,0.0149,0.9776
D0 Independent,1000,1000,0.99907,0.020624,0.0199,0.8146
D0 Independent,5000,500,0.99996,0.009076,0.0135,1.0
D1 Linear,100,1000,0.11921,0.014434,0.0262,0.4914
D1 Linear,500,1000,0.05165,0.003438,0.0307,0.2983
D1 Linear,1000,1000,0.03652,0.001718,0.0192,0.846
D1 Linear,5000,500,0.01722,0.000442,0.0209,0.9779
D2 Quadratic,100,1000,0.37772,0.040911,0.0296,0.3366
D2 Quadratic,500,1000,0.22556,0.013058,0.021,0.7597
D2 Quadratic,1000,1000,0.17738,0.007762,0.0186,0.872
D2 Quadratic,5000,500,0.1009,0.00217,0.0297,0.76
D3 Cubic,100,1000,0.2774,0.034624,0.0413,0.0637
D3 Cubic,500,1000,0.17594,0.012506,0.0157,0.9632
D3 Cubic,1000,1000,0.14131,0.007789,0.031,0.2862
D3 Cubic,5000,500,0.0812,0.00259,0.023,0.9492
D4 Sine,100,1000,0.17174,0.02083,0.0272,0.4423
D4 Sine,500,1000,0.09148,0.005805,0.0412,0.0649
D4 Sine,1000,1000,0.07152,0.00332,0.0296,0.34
D4 Sine,5000,500,0.04226,0.000958,0.0307,0.7231
D5 Cosine,100,1000,0.394,0.042667,0.0157,0.9621
D5 Cosine,500,1000,0.25399,0.014835,0.023,0.6579
D5 Cosine,1000,1000,0.21171,0.008918,0.0248,0.559
D5 Cosine,5000,500,0.14798,0.003236,0.0289,0.7854
D6 Exponential,100,1000,0.17262,0.021627,0.0248,0.5605
D6 Exponential,500,1000,0.09583,0.006289,0.0321,0.2495
D6 Exponential,1000,1000,0.0777,0.004017,0.0152,0.973
D6 Exponential,5000,500,0.0515,0.001364,0.0184,0.9946
D7 Logarithmic,100,1000,0.70166,0.057012,0.0199,0.8153
D7 Logarithmic,500,1000,0.56576,0.022959,0.0158,0.9616
D7 Logarithmic,1000,1000,0.5186,0.01556,0.0173,0.9199
D7 Logarithmic,5000,500,0.44339,0.006653,0.0332,0.6289
D8 Step,100,1000,0.38454,0.04372,0.0226,0.6802
D8 Step,500,1000,0.30397,0.017488,0.0272,0.4437
D8 Step,1000,1000,0.27758,0.011548,0.0266,0.4731
D8 Step,5000,500,0.23332,0.004151,0.0332,0.6292
D9 Parabolic,100,1000,0.36626,0.03885,0.0224,0.6888
D9 Parabolic,500,1000,0.20977,0.011747,0.0179,0.9001
D9 Parabolic,1000,1000,0.16213,0.006758,0.0257,0.5146
D9 Parabolic,5000,500,0.08674,0.001905,0.0396,0.4042
