Distribution,d_X,noise,sigma2_est,R2_noint,n_times_var_mean
D0 Indep.,2,0.1,0.410458,1.0,0.4265
D0 Indep.,5,0.1,0.413655,1.0,0.4162
D0 Indep.,10,0.1,0.432405,1.0,0.4381
D1 Linear,2,0.1,0.001733,0.9966,0.001
D1 Linear,5,0.1,0.019679,0.9925,0.0061
D1 Linear,10,0.1,0.169905,0.9972,0.0853
D2 Quad.,2,0.1,0.024499,0.9988,0.0176
D2 Quad.,5,0.1,0.159589,0.9958,0.0654
D2 Quad.,10,0.1,0.268097,0.9996,0.2109
D3 Cubic,2,0.1,0.035536,0.9989,0.0262
D3 Cubic,5,0.1,0.120156,0.9971,0.0581
D3 Cubic,10,0.1,0.224343,0.9993,0.1626
D4 Sine,2,0.1,0.011864,0.9951,0.0051
D4 Sine,5,0.1,0.042667,0.9945,0.0155
D4 Sine,10,0.1,0.162784,0.997,0.0805
D5 Cosine,2,0.1,0.070829,0.9999,0.0699
D5 Cosine,5,0.1,0.183454,0.9972,0.0947
D5 Cosine,10,0.1,0.302084,0.9996,0.2327
D6 Exp.,2,0.1,0.018861,0.9996,0.0159
D6 Exp.,5,0.1,0.044067,0.9954,0.019
D6 Exp.,10,0.1,0.158051,0.9981,0.0892
D7 Log.,2,0.1,0.12224,1.0,0.1134
D7 Log.,5,0.1,0.329151,0.9992,0.2434
D7 Log.,10,0.1,0.380339,1.0,0.351
D8 Step,2,0.1,0.093695,0.9974,0.0523
D8 Step,5,0.1,0.181169,0.999,0.1213
D8 Step,10,0.1,0.341434,0.9993,0.2523
D9 Parab.,2,0.1,0.023189,0.997,0.0146
D9 Parab.,5,0.1,0.14885,0.9949,0.0558
D9 Parab.,10,0.1,0.273167,0.9996,0.2021
D0 Indep.,2,0.5,0.411118,0.9998,0.4279
D0 Indep.,5,0.5,0.449184,1.0,0.4243
D0 Indep.,10,0.5,0.424398,1.0,0.4272
D1 Linear,2,0.5,0.158251,1.0,0.1513
D1 Linear,5,0.5,0.115809,0.9995,0.0921
D1 Linear,10,0.5,0.315539,0.9995,0.2596
D2 Quad.,2,0.5,0.259167,1.0,0.2612
D2 Quad.,5,0.5,0.280265,0.9996,0.2297
D2 Quad.,10,0.5,0.334105,1.0,0.3123
D3 Cubic,2,0.5,0.222483,0.9998,0.2079
D3 Cubic,5,0.5,0.203064,0.9992,0.1543
D3 Cubic,10,0.5,0.249952,1.0,0.2264
D4 Sine,2,0.5,0.261912,1.0,0.2563
D4 Sine,5,0.5,0.297969,1.0,0.2888
D4 Sine,10,0.5,0.347431,0.9998,0.3026
D5 Cosine,2,0.5,0.433475,1.0,0.437
D5 Cosine,5,0.5,0.419259,1.0,0.4496
D5 Cosine,10,0.5,0.44799,0.9999,0.4359
D6 Exp.,2,0.5,0.395402,1.0,0.4043
D6 Exp.,5,0.5,0.383539,1.0,0.3861
D6 Exp.,10,0.5,0.42277,0.9999,0.4102
D7 Log.,2,0.5,0.461437,1.0,0.4877
D7 Log.,5,0.5,0.463202,1.0,0.4804
D7 Log.,10,0.5,0.421388,1.0,0.4449
D8 Step,2,0.5,0.134214,0.9988,0.0966
D8 Step,5,0.5,0.284101,0.9995,0.2071
D8 Step,10,0.5,0.373694,0.9997,0.3142
D9 Parab.,2,0.5,0.225846,1.0,0.2211
D9 Parab.,5,0.5,0.222614,0.9994,0.1655
D9 Parab.,10,0.5,0.304419,1.0,0.2771
