Distribution,d_X,noise,II*_noisy,emp_slope,theory_slope,slope_diff,R2
D0 Indep.,1,0.1,1.0,-0.1562,-0.5,0.3438,0.1942
D0 Indep.,2,0.1,1.0,-0.263,-0.5,0.237,0.3416
D0 Indep.,5,0.1,1.0,0.045,-0.2,0.245,0.1053
D0 Indep.,10,0.1,1.0,-0.3544,-0.1,-0.2544,0.4018
D1 Linear,1,0.1,0.07603,-0.9468,-0.5,-0.4468,0.9809
D1 Linear,2,0.1,0.01448,-1.1107,-0.5,-0.6107,0.9943
D1 Linear,5,0.1,0.00697,-0.7405,-0.2,-0.5405,0.97
D1 Linear,10,0.1,0.09075,-0.5404,-0.1,-0.4404,0.9312
D2 Quad.,1,0.1,0.17117,-0.5829,-0.5,-0.0829,0.5393
D2 Quad.,2,0.1,0.05022,-1.1357,-0.5,-0.6357,0.992
D2 Quad.,5,0.1,0.04819,-0.6253,-0.2,-0.4253,0.9439
D2 Quad.,10,0.1,0.25289,-0.4694,-0.1,-0.3694,0.9082
D3 Cubic,1,0.1,0.17467,-1.1121,-0.5,-0.6121,0.4818
D3 Cubic,2,0.1,0.04673,-1.0274,-0.5,-0.5274,0.9855
D3 Cubic,5,0.1,0.03704,-0.6035,-0.2,-0.4035,0.9305
D3 Cubic,10,0.1,0.19666,-0.4819,-0.1,-0.3819,0.9091
D4 Sine,1,0.1,0.13817,-1.3835,-0.5,-0.8835,0.7573
D4 Sine,2,0.1,0.03736,-1.0377,-0.5,-0.5377,0.9668
D4 Sine,5,0.1,0.02346,-0.6638,-0.2,-0.4638,0.9587
D4 Sine,10,0.1,0.10477,-0.5274,-0.1,-0.4274,0.9302
D5 Cosine,1,0.1,0.29424,-0.3747,-0.5,0.1253,0.3552
D5 Cosine,2,0.1,0.1413,-0.9591,-0.5,-0.4591,0.995
D5 Cosine,5,0.1,0.10413,-0.6358,-0.2,-0.4358,0.948
D5 Cosine,10,0.1,0.27692,-0.4793,-0.1,-0.3793,0.9109
D6 Exp.,1,0.1,0.1767,-0.8509,-0.5,-0.3509,0.7382
D6 Exp.,2,0.1,0.06338,-0.8693,-0.5,-0.3693,0.9923
D6 Exp.,5,0.1,0.03567,-0.6871,-0.2,-0.4871,0.9591
D6 Exp.,10,0.1,0.10995,-0.528,-0.1,-0.428,0.9317
D7 Log.,1,0.1,0.25196,-0.8353,-0.5,-0.3353,0.9152
D7 Log.,2,0.1,0.27449,-0.9485,-0.5,-0.4485,0.899
D7 Log.,5,0.1,0.38907,-0.5998,-0.2,-0.3998,0.9436
D7 Log.,10,0.1,0.63887,-0.4414,-0.1,-0.3414,0.8835
D8 Step,1,0.1,0.50096,-0.1424,-0.5,0.3576,0.0315
D8 Step,2,0.1,0.25307,-0.7302,-0.5,-0.2302,0.9739
D8 Step,5,0.1,0.1924,-0.5362,-0.2,-0.3362,0.9336
D8 Step,10,0.1,0.32296,-0.5048,-0.1,-0.4048,0.9172
D9 Parab.,1,0.1,0.17018,-0.7199,-0.5,-0.2199,0.7599
D9 Parab.,2,0.1,0.04247,-1.1495,-0.5,-0.6495,0.9822
D9 Parab.,5,0.1,0.03643,-0.6349,-0.2,-0.4349,0.9483
D9 Parab.,10,0.1,0.23754,-0.4733,-0.1,-0.3733,0.9051
D0 Indep.,1,0.5,1.0,-0.3648,-0.5,0.1352,0.641
D0 Indep.,2,0.5,1.0,-0.6437,-0.5,-0.1437,0.6685
D0 Indep.,5,0.5,1.0,-0.5072,-0.2,-0.3072,0.6173
D0 Indep.,10,0.5,1.0,-0.2231,-0.1,-0.1231,0.21
D1 Linear,1,0.5,0.35414,-0.5321,-0.5,-0.0321,0.9828
D1 Linear,2,0.5,0.26127,-0.6707,-0.5,-0.1707,0.633
D1 Linear,5,0.5,0.15269,-0.6771,-0.2,-0.4771,0.9423
D1 Linear,10,0.5,0.34472,-0.5266,-0.1,-0.4266,0.9341
D2 Quad.,1,0.5,0.4766,-0.9492,-0.5,-0.4492,0.7625
D2 Quad.,2,0.5,0.33142,-0.7684,-0.5,-0.2684,0.9171
D2 Quad.,5,0.5,0.27104,-0.6122,-0.2,-0.4122,0.9449
D2 Quad.,10,0.5,0.40829,-0.4752,-0.1,-0.3752,0.9061
D3 Cubic,1,0.5,0.40269,-0.2763,-0.5,0.2237,0.3031
D3 Cubic,2,0.5,0.22483,-1.4243,-0.5,-0.9243,0.9721
D3 Cubic,5,0.5,0.15721,-0.5997,-0.2,-0.3997,0.9342
D3 Cubic,10,0.5,0.28663,-0.4865,-0.1,-0.3865,0.9104
D4 Sine,1,0.5,0.51906,-0.572,-0.5,-0.072,0.5772
D4 Sine,2,0.5,0.43571,-0.6142,-0.5,-0.1142,0.92
D4 Sine,5,0.5,0.39992,-0.6257,-0.2,-0.4257,0.9578
D4 Sine,10,0.5,0.45627,-0.5004,-0.1,-0.4004,0.9394
D5 Cosine,1,0.5,0.72187,-0.2773,-0.5,0.2227,0.2759
D5 Cosine,2,0.5,0.66721,-0.5593,-0.5,-0.0593,0.4979
D5 Cosine,5,0.5,0.64843,-0.7106,-0.2,-0.5106,0.9171
D5 Cosine,10,0.5,0.70394,-0.4785,-0.1,-0.3785,0.9169
D6 Exp.,1,0.5,0.62916,-0.3134,-0.5,0.1866,0.601
D6 Exp.,2,0.5,0.55791,-0.7123,-0.5,-0.2123,0.9617
D6 Exp.,5,0.5,0.51787,-0.7732,-0.2,-0.5732,0.8674
D6 Exp.,10,0.5,0.55891,-0.6077,-0.1,-0.5077,0.8803
D7 Log.,1,0.5,0.79029,-0.2632,-0.5,0.2368,0.2887
D7 Log.,2,0.5,0.8185,-0.2779,-0.5,0.2221,0.3911
D7 Log.,5,0.5,0.88387,-0.8277,-0.2,-0.6277,0.9524
D7 Log.,10,0.5,0.93909,-0.4617,-0.1,-0.3617,0.8995
D8 Step,1,0.5,0.50341,-0.6863,-0.5,-0.1863,0.8423
D8 Step,2,0.5,0.30399,-0.7325,-0.5,-0.2325,0.9726
D8 Step,5,0.5,0.27283,-0.5291,-0.2,-0.3291,0.9351
D8 Step,10,0.5,0.40687,-0.4871,-0.1,-0.3871,0.9208
D9 Parab.,1,0.5,0.47702,-0.4139,-0.5,0.0861,0.7242
D9 Parab.,2,0.5,0.29274,-1.5367,-0.5,-1.0367,0.8759
D9 Parab.,5,0.5,0.20596,-0.6419,-0.2,-0.4419,0.9363
D9 Parab.,10,0.5,0.35757,-0.4693,-0.1,-0.3693,0.9164
